,date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
0,2021-08-02,sh.600000,97.8185495700,100.0933995600,97.1685924300,98.9018114700,97.8185495700,45713350,416533736.8700,1,0.155700,1,1.107400,4.491798,0.493529,1.406879,2.612094,0
1,2021-08-03,sh.600000,98.9018114700,99.0101376600,97.9268757600,98.7934852800,98.9018114700,33014050,300047780.1100,1,0.112500,1,-0.109500,4.486879,0.492988,1.405338,2.609233,0
2,2021-08-04,sh.600000,98.7934852800,99.0101376600,98.0352019500,98.2518543300,98.7934852800,25214494,229004469.3700,1,0.085900,1,-0.548200,4.462279,0.490286,1.397634,2.594928,0
3,2021-08-05,sh.600000,98.1435281400,98.7934852800,97.9268757600,98.0352019500,98.2518543300,24267799,220300799.2300,1,0.082700,1,-0.220500,4.452440,0.489204,1.394552,2.589206,0
4,2021-08-06,sh.600000,98.0352019500,98.3601805200,97.4935710000,98.3601805200,98.0352019500,22486126,203315737.6900,1,0.076600,1,0.331500,4.467199,0.490826,1.399175,2.597789,0
5,2021-08-09,sh.600000,98.1435281400,100.2017257500,98.0352019500,99.3351162300,98.3601805200,37461914,344052120.3700,1,0.127600,1,0.991200,4.511478,0.495691,1.413043,2.623538,0
6,2021-08-10,sh.600000,99.4434424200,99.9850733700,98.5768329000,99.6600948000,99.3351162300,34370935,314539916.2100,1,0.117100,1,0.327200,4.526237,0.497313,1.417666,2.632121,0
7,2021-08-11,sh.600000,99.4434424200,100.6350305100,99.2267900400,99.7684209900,99.6600948000,37382098,345067501.8800,1,0.127400,1,0.108700,4.531157,0.497853,1.419207,2.634982,0
8,2021-08-12,sh.600000,99.7684209900,99.8767471800,99.2267900400,99.3351162300,99.7684209900,22978467,211023249.9600,1,0.078300,1,-0.434300,4.511478,0.495691,1.413043,2.623538,0
9,2021-08-13,sh.600000,99.2267900400,99.9850733700,99.0101376600,99.4434424200,99.3351162300,21925988,201254904.2300,1,0.074700,1,0.109100,4.516398,0.496232,1.414584,2.626399,0
10,2021-08-16,sh.600000,99.5517686100,100.4183781300,99.2267900400,99.8767471800,99.4434424200,27369511,252450157.4300,1,0.093200,1,0.435700,4.536077,0.498394,1.420748,2.637843,0
11,2021-08-17,sh.600000,99.9850733700,100.6350305100,99.3351162300,99.5517686100,99.8767471800,38016760,350733814.6700,1,0.129500,1,-0.325400,4.521317,0.496772,1.416125,2.629260,0
